# 1   | 2  | 3 |4 | 5  | 6   | 7  | 8   |     9    |  10     |  11   | 12
# p   | Δp | T |ΔT| φ  | Δφ  | U₀ | ΔU₀ |     Re   |  ΔRe    |  Xf   | θf
#atm   atm   K  K             m/s   m/s    D=38 mm              mm     deg

3.06  0.01  506 4 0.57  0.04  37.8  1.0   1.12E+005 2.83E+003   20.1  34.2
6.04  0.01  525 4 0.57  0.02  37.3  0.6   2.04E+005 2.88E+003   20.8  31.2
9.08  0.01  544 4 0.56  0.02  37.2  0.4   2.89E+005 3.04E+003   20.3  31.2
12.1  0.01  559 4 0.56  0.01  37.4  0.4   3.69E+005 3.31E+003   26.7  26.6


6.04  0.01  525 4 0.57  0.02  37.3  0.6   2.04E+005 2.88E+003   20.8  31.2
6.03  0.01  534 4 0.55  0.07  20.1  0.7   1.07E+005 3.54E+003   21.7  31.5
6.19  0.01  524 4 0.55  0.07  18.9  0.7   1.06E+005 3.70E+003   20.1  33.6
6.19  0.01  493 4 0.51  0.16  11.7  0.8   7.33E+004 5.28E+003   20.8  32.9


3.02  0.01  523 4 0.57  0.02  79.5  1.1   2.19E+005 2.78E+003   21.8  38.8
3.01  0.01  485 4 0.57  0.04  36.7  1.0   1.15E+005 2.92E+003   15.8  37.6


3.01  0.01  485 4 0.57  0.04  36.7  1.0   1.15E+005 2.92E+003   15.8  37.6
6.01  0.01  516 4 0.58  0.02  38.2  0.6   2.14E+005 2.89E+003   12.5  37.7
9.05  0.01  553 4 0.58  0.01  39.2  0.5   2.94E+005 2.96E+003   8.3   32.4
12.01 0.01  582 4 0.56  0.01  40.9  0.4   3.75E+005 3.12E+003   11.2  31.9
